"Pais","Puntuacion","CrimenOrg"
"Albania",5,4.4
"Algeria",6.8,4.5
"Argentina",3.8,4
"Armenia",7,5.1
"Australia",2.5,5.8
"Austria",1.4,6.4
"Azerbaijan",8.6,5.5
"Bahrain",8.3,6.2
"Bangladesh",7.6,4
"Belgium",1,5.8
"Benin",5.4,4.4
"Bhutan",6.3,6.3
"Bolivia",6.2,4.5
"Bosnia and Herzegovina",6.1,4
"Botswana",4.7,5.4
"Brazil",6.1,3.8
"Bulgaria",3.5,3.9
"Burundi",8.5,3.8
"Cambodia",7.9,4.4
"Cameroon",7.7,4.6
"Canada",1.5,5.4
"Chad",9.3,3.4
"Chile",3.2,5.6
"China",8.7,4.8
"Colombia",7.2,2.8
"Costa Rica",1.7,5.2
"Cote d'Ivoire",8.1,3.4
"Croatia",3.8,5.3
"Cyprus",3.2,5.6
"Czech Republic",2.6,5.6
"Denmark",1.7,5.8
"Dominican Republic",6,4
"Ecuador",5.2,4.7
"El Salvador",6.5,2.4
"Estonia",1.8,6.4
"Ethiopia",8.5,5
"Finland",1,6.8
"France",2.3,5
"Gabon",7.2,4.9
"Georgia",5.8,6.2
"Germany",1.3,5.3
"Ghana",5.3,4.3
"Greece",3.2,5.3
"Guatemala",6.9,2.5
"Guinea",7.9,4.1
"Guyana",3.6,4.2
"Haiti",7.7,3.2
"Honduras",6.6,2.9
"Hungary",4.9,4.6
"Iceland",1,6.6
"India",6.2,3.9
"Indonesia",7.4,4.1
"Ireland",1.1,6.1
"Italy",2.2,3.3
"Jamaica",5.2,2.6
"Japan",3.2,5.4
"Jordan",8,5.1
"Kazakhstan",7.4,4.9
"Kenya",7.2,3.3
"Kuwait",7.6,5.7
"Kyrgyz Republic",7,3.9
"Latvia",2.8,6.1
"Lebanon",7.4,4.5
"Lesotho",4.7,5.9
"Liberia",6.7,4.4
"Lithuania",2.7,5.2
"Luxembourg",1,6.2
"Madagascar",5.8,4
"Malawi",6.4,4.8
"Malaysia",7.7,5.2
"Mali",7,3.6
"Malta",3.2,6
"Mauritania",8.1,4.4
"Mauritius",3.6,6
"Mexico",6.2,2.6
"Moldova",5.1,4.6
"Mongolia",4.7,5.4
"Montenegro",4.1,4.5
"Morocco",7,5.8
"Mozambique",5.8,3.4
"Myanmar",8.6,3.5
"Namibia",4,4.9
"Nepal",7.4,4.2
"Netherlands",1.1,5.9
"New Zealand",0.7,6.3
"Nicaragua",5.4,5.7
"Nigeria",9.1,4.1
"Norway",1.6,6.2
"Oman",7.4,6.6
"Pakistan",8.2,3.1
"Panama",4.5,4.9
"Paraguay",6.1,4.4
"Peru",4.5,3
"Philippines",5.6,4.5
"Poland",2.9,5.4
"Portugal",2,6.3
"Qatar",6.5,6.4
"Romania",3.9,4.6
"Rwanda",7.4,6.5
"Saudi Arabia",8.9,6.3
"Senegal",6.2,4.8
"Serbia",4.6,4.3
"Seychelles",4.3,4.9
"Sierra Leone",5.5,4.1
"Singapore",4.3,6.5
"Slovak Republic",2.7,4.8
"Slovenia",1.7,5.5
"South Africa",4.4,4.3
"Spain",2,5.6
"Sri Lanka",8.5,5.1
"Swaziland",8.8,5.1
"Sweden",1.3,5.7
"Switzerland",2,6.2
"Tajikistan",7.9,4.7
"Tanzania",6.1,4.8
"Thailand",8.2,4.2
"Trinidad and Tobago",4.3,3.9
"Tunisia",6.7,4.4
"Turkey",7.4,4.9
"Uganda",8,4
"Ukraine",6.2,3.4
"United Arab Emirates",7.5,6.8
"United Kingdom",1.9,5.7
"United States",3.4,4.9
"Uruguay",2.5,5.6
"Vietnam",7.5,4.8
"Zambia",7.1,5.6
"Zimbabwe",8.4,5.6
